"mun";"lei";"desc";"link";"UF";"lei_ord";"ata";"decreto";"medida";"oficio";"portaria";"resolucao";"data";"codmun";"id_munic_7";"id_estado"
"São Lourenço do Oeste";"Decreto Nº 6724 de 9 de junho de 2020";"Altera o Decreto n 6.720, de 05 de junho de 2020, que disp?e sobre novas medidas de enfrentamento ? epidemia da Covid-19, e d? outras provid?ncias.";"http://leismunicipa.is/eypbi";"SC";0;0;1;0;0;0;0;2020-06-09;421690;4216909;42
"Lontras";"Decreto Nº 83 de 9 de junho de 2020";"AUTORIZA O PODER EXECUTIVO A ABRIR CRÉDITO ADICIONAL SUPLEMENTAR NO ORÇAMENTO DO MUNICÍPIO, COM BASE EM EXCESSO DE ARRECADAÇÃO, NO VALOR DE R$ 56.004,99 (CINQUENTA E SEIS MIL, QUAT...";"http://leismunicipa.is/omyhn";"SC";0;0;1;0;0;0;0;2020-06-09;420990;4209904;42
"Lontras";"Lei Ordinária Nº 2529 de 9 de junho de 2020";"AUTORIZA O PODER EXECUTIVO A ABRIR CRÉDITO ADICIONAL SUPLEMENTAR NO ORÇAMENTO DO MUNICÍPIO, COM BASE EM EXCESSO DE ARRECADAÇÃO, NO VALOR DE R$ 56.004,99 (CINQUENTA E SEIS MIL, QUAT...";"http://leismunicipa.is/omhyn";"SC";1;0;0;0;0;0;0;2020-06-09;420990;4209904;42
"Lucas do Rio Verde";"Decreto Nº 4827 de 9 de junho de 2020";"Estabelece restrições temporárias durante a pandemia do Novo Coronavírus (COVID-19) e dá outras providências.";"http://leismunicipa.is/knymo";"MT";0;0;1;0;0;0;0;2020-06-09;510525;5105259;51
"Pinhais";"Decreto Nº 438 de 9 de junho de 2020";"<U+0093>Determina a execução de ações de contingenciamento e a adoção de medidas que compatibilizem as despesas com as receitas, para mitigar os impactos financeiros causados pela pandemi...";"http://leismunicipa.is/yaehp";"PR";0;0;1;0;0;0;0;2020-06-09;411915;4119152;41
"Ibiraiaras";"Lei Ordinária Nº 2463 de 9 de junho de 2020";"Autoriza o Poder Executivo a abrir crédito especial no orçamento do Município.";"http://leismunicipa.is/ydphf";"RS";1;0;0;0;0;0;0;2020-06-09;430990;4309902;43
"Lagoa Santa";"Decreto Nº 4050 de 9 de junho de 2020";"Abre Crédito Adicional Extraordinário no orçamento de 2020 para Ações de Enfrentamento da Pandemia Decorrente do Coronavírus - COVID-19.";"http://leismunicipa.is/yacpi";"MG";0;0;1;0;0;0;0;2020-06-09;521225;5212253;52
"Lagoa Santa";"Decreto Nº 4050 de 9 de junho de 2020";"Abre Crédito Adicional Extraordinário no orçamento de 2020 para Ações de Enfrentamento da Pandemia Decorrente do Coronavírus - COVID-19.";"http://leismunicipa.is/yacpi";"MG";0;0;1;0;0;0;0;2020-06-09;313760;3137601;31
"Anitápolis";"Decreto Nº 38 de 9 de junho de 2020";"Institui no munic?pio Anit?polis o Comit? de Crise da Assist?ncia Social - COMIT? SUAS-Anit?polis COVID 19 e d? outras provid?ncias.";"http://leismunicipa.is/ydcpi";"SC";0;0;1;0;0;0;0;2020-06-09;420110;4201109;42
"Foz do Iguaçu";"Decreto Nº 28204 de 9 de junho de 2020";"Altera o Decreto nº 28.114, de 8 de maio de 2020, que Estabelece os protocolos de segurança sanitária para a retomada das atividades turísticas no Município de Foz do Iguaçu no enf...";"http://leismunicipa.is/gyfip";"PR";0;0;1;0;0;0;0;2020-06-09;410830;4108304;41
"Laguna";"Decreto Nº 6251 de 9 de junho de 2020";"Faculta o ponto nas reparti??es da Administra??o Direta e Indireta do Poder Executivo Municipal.";"http://leismunicipa.is/hyaip";"SC";0;0;1;0;0;0;0;2020-06-09;420940;4209409;42
"Laguna";"Decreto Nº 6250 de 9 de junho de 2020";"ESTABELECE MEDIDAS DE ENFRENTAMENTO À SITUAÇÃO DE EMERGÊNCIA EM SAÚDE PÚBLICA DE IMPORTÂNCIA INTERNACIONAL DECORRENTE DO NOVO CORONAVÍRUS (COVID-19), REGULAMENTANDO NO MUNICÍPIO DE...";"http://leismunicipa.is/phyjd";"SC";0;0;1;0;0;0;0;2020-06-09;420940;4209409;42
"Uberlândia";"Lei Ordinária Nº 13343 de 9 de junho de 2020";"AUTORIZA O PODER EXECUTIVO A ANTECIPAR FERIADO MUNICIPAL, POR DECRETO, DURANTE A ATUAL EMERGÊNCIA DE SAÚDE PÚBLICA DE IMPORTÂNCIA INTERNACIONAL DECORRENTE DO CORONAVÍRUS";"http://leismunicipa.is/omnay";"MG";1;0;0;0;0;0;0;2020-06-09;317020;3170206;31
"Lages";"Decreto Nº 18034 de 9 de junho de 2020";"Estabelece Ponto Facultativo e dá outras providências.";"http://leismunicipa.is/pdbay";"SC";0;0;1;0;0;0;0;2020-06-09;420930;4209300;42
"Itapoá";"Decreto Nº 4472 de 9 de junho de 2020";"Disp?e sobre a instala??o de barreiras sanit?rias para enfrentamento da infec??o humana pelo novo coronav?rus -covid-19- no ?mbito do poder executivo do munic?pio de Itapo? e d? ou...";"http://leismunicipa.is/cdipy";"SC";0;0;1;0;0;0;0;2020-06-09;420845;4208450;42
"Presidente Getúlio";"Decreto Nº 119 de 9 de junho de 2020";"REVOGA O INC. I DO ART. 12 DO DECRETO N. 78-2020 QUE DISCIPLINA O REGIME DE TELETRABALHO DURANTE A PANDEMIA DE COVID-19 NOS ?RG?OS E NAS ENTIDADES DA ADMINISTRA??O P?BLICA MUNICIPA...";"http://leismunicipa.is/yebip";"SC";0;0;1;0;0;0;0;2020-06-09;421400;4214003;42
"Niterói";"Lei Ordinária Nº 3511 de 9 de junho de 2020";"Dispõe sobre a antecipação dos feriados em Niterói, por conta da epidemia do Covid-19.";"http://leismunicipa.is/ypfhg";"RJ";1;0;0;0;0;0;0;2020-06-09;330330;3303302;33
"Rio Negro";"Decreto Nº 69 de 9 de junho de 2020";"Dispõe sobre a isenção da taxa de utilização do Cine Teatro <U+0093>Antônio Cândido do Amaral<U+0094>, excepcionalmente durante o período da Pandemia do COVID-19 para artistas municipais conform...";"http://leismunicipa.is/ychpb";"PR";0;0;1;0;0;0;0;2020-06-09;500730;5007307;50
